"date","year","month","day","8130002"
1991-03-01,"1991","03","01",2.28
1991-04-01,"1991","04","01",5.292
1991-05-01,"1991","05","01",70.59
1991-06-01,"1991","06","01",22.667
1991-07-01,"1991","07","01",33.313
1991-08-01,"1991","08","01",10.692
1991-09-01,"1991","09","01",22.767
1991-10-01,"1991","10","01",14.244
1991-11-01,"1991","11","01",8.974
1991-12-01,"1991","12","01",9.089
1992-01-01,"1992","01","01",5.58
1992-02-01,"1992","02","01",3.825
1992-03-01,"1992","03","01",3.229
1992-04-01,"1992","04","01",6.767
1992-05-01,"1992","05","01",57.274
1992-06-01,"1992","06","01",36.36
1992-07-01,"1992","07","01",19.758
1992-08-01,"1992","08","01",11.265
1992-09-01,"1992","09","01",17.19
1992-10-01,"1992","10","01",19.545
1992-11-01,"1992","11","01",16.023
1992-12-01,"1992","12","01",10.125
1993-01-01,"1993","01","01",6.93
1993-02-01,"1993","02","01",5.004
1993-03-01,"1993","03","01",4.287
1993-04-01,"1993","04","01",8.273
1993-05-01,"1993","05","01",33.753
1993-06-01,"1993","06","01",85.013
1993-07-01,"1993","07","01",32.932
1993-08-01,"1993","08","01",37.323
1993-09-01,"1993","09","01",15.688
1993-10-01,"1993","10","01",7.56
1993-11-01,"1993","11","01",10.548
1993-12-01,"1993","12","01",12.035
1994-01-01,"1994","01","01",7.065
1994-02-01,"1994","02","01",5.362
1994-03-01,"1994","03","01",4.349
1994-04-01,"1994","04","01",7.739
1994-05-01,"1994","05","01",12.345
1994-06-01,"1994","06","01",33.091
1994-07-01,"1994","07","01",49.567
1994-08-01,"1994","08","01",10.448
1994-09-01,"1994","09","01",28.981
1994-10-01,"1994","10","01",17.426
1994-11-01,"1994","11","01",9.358
1994-12-01,"1994","12","01",7.905
1995-01-01,"1995","01","01",4.704
1995-02-01,"1995","02","01",3.292
1995-03-01,"1995","03","01",2.685
1995-04-01,"1995","04","01",4.462
1995-05-01,"1995","05","01",5.65
1995-06-01,"1995","06","01",47.743
1995-07-01,"1995","07","01",35.139
1995-08-01,"1995","08","01",23.845
1995-09-01,"1995","09","01",27.98
1995-10-01,"1995","10","01",19.535
1995-11-01,"1995","11","01",15.093
1995-12-01,"1995","12","01",9.303
1996-01-01,"1996","01","01",5.04
1996-02-01,"1996","02","01",3.469
1996-03-01,"1996","03","01",3.581
1996-04-01,"1996","04","01",7.547
1996-05-01,"1996","05","01",6.567
1996-06-01,"1996","06","01",24.117
1996-07-01,"1996","07","01",12.547
1996-08-01,"1996","08","01",14.963
1996-09-01,"1996","09","01",11.587
1996-10-01,"1996","10","01",7.695
1996-11-01,"1996","11","01",6.043
1996-12-01,"1996","12","01",3.705
1997-01-01,"1997","01","01",2.466
1997-02-01,"1997","02","01",2.341
1997-03-01,"1997","03","01",1.915
1997-04-01,"1997","04","01",14.437
1997-05-01,"1997","05","01",23.036
