"date","year","month","day","8130002"
1979-06-16,1979,6,16,13.44702
1979-06-17,1979,6,17,13.038151
1979-06-18,1979,6,18,9.4749225
1979-06-19,1979,6,19,7.7849803
1979-06-20,1979,6,20,8.9043427
1979-06-21,1979,6,21,10.214316
1979-06-22,1979,6,22,6.384454
1979-06-23,1979,6,23,4.4172137
1979-06-24,1979,6,24,7.1840195
1979-06-25,1979,6,25,11.098503
1979-06-26,1979,6,26,13.179124
1979-06-27,1979,6,27,13.242888
1979-06-28,1979,6,28,12.636827
1979-06-29,1979,6,29,10.80928
1979-06-30,1979,6,30,8.8560987
1979-07-01,1979,7,1,10.983717
1979-07-02,1979,7,2,11.202586
1979-07-03,1979,7,3,9.5644886
1979-07-04,1979,7,4,11.392934
1979-07-05,1979,7,5,12.218645
1979-07-06,1979,7,6,10.638737
1979-07-07,1979,7,7,11.413496
1979-07-08,1979,7,8,12.080327
1979-07-09,1979,7,9,16.800814
1979-07-10,1979,7,10,15.840836
1979-07-11,1979,7,11,16.054792
1979-07-12,1979,7,12,11.173341
1979-07-13,1979,7,13,7.2971638
1979-07-14,1979,7,14,5.5057763
1979-07-15,1979,7,15,12.62606
1979-07-16,1979,7,16,13.639364
1979-07-17,1979,7,17,6.0850342
1979-07-18,1979,7,18,4.1034454
1979-07-19,1979,7,19,11.617153
1979-07-20,1979,7,20,11.864738
1979-07-21,1979,7,21,7.8333634
1979-07-22,1979,7,22,8.8400963
1979-07-23,1979,7,23,5.7446718
1979-07-24,1979,7,24,6.3816046
1979-07-25,1979,7,25,9.1512705
1979-07-26,1979,7,26,6.787788
1979-07-27,1979,7,27,8.0785169
1979-07-28,1979,7,28,8.0360591
1979-07-29,1979,7,29,8.4177918
1979-07-30,1979,7,30,6.7731994
1979-07-31,1979,7,31,5.3434612
1979-08-01,1979,8,1,2.6702548
1979-08-02,1979,8,2,6.5111445
1979-08-03,1979,8,3,4.8601412
1979-08-04,1979,8,4,4.7372968
1979-08-05,1979,8,5,6.0848479
1979-08-06,1979,8,6,6.3692294
1979-08-07,1979,8,7,10.042924
1979-08-08,1979,8,8,11.221671
1979-08-09,1979,8,9,13.547779
1979-08-10,1979,8,10,11.811679
1979-08-11,1979,8,11,13.347202
1979-08-12,1979,8,12,12.520719
1979-08-13,1979,8,13,12.26044
1979-08-14,1979,8,14,11.151082
1979-08-15,1979,8,15,9.3250031
1979-08-16,1979,8,16,10.577724
1979-08-17,1979,8,17,10.663252
1979-08-18,1979,8,18,14.296487
1979-08-19,1979,8,19,13.019078
1979-08-20,1979,8,20,11.173656
1979-08-21,1979,8,21,6.3341047
1979-08-22,1979,8,22,10.270686
1979-08-23,1979,8,23,7.9667995
1979-08-24,1979,8,24,7.13378
1979-08-25,1979,8,25,5.1587998
1979-08-26,1979,8,26,4.4182521
1979-08-27,1979,8,27,3.5177269
1979-08-28,1979,8,28,5.2023172
1979-08-29,1979,8,29,5.5126989
1979-08-30,1979,8,30,6.6869131
1979-08-31,1979,8,31,2.7413865
1979-09-01,1979,9,1,2.52562
1979-09-02,1979,9,2,3.9333875
1979-09-03,1979,9,3,9.0258034
1979-09-04,1979,9,4,15.406064
1979-09-05,1979,9,5,17.797648
1979-09-06,1979,9,6,14.571396
1979-09-07,1979,9,7,11.592408
1979-09-08,1979,9,8,12.974246
1979-09-09,1979,9,9,12.987556
1979-09-10,1979,9,10,8.8243584
1979-09-11,1979,9,11,7.7112368
1979-09-12,1979,9,12,7.3749744
1979-09-13,1979,9,13,8.1999544
1979-09-14,1979,9,14,3.4323442
1979-09-15,1979,9,15,2.9320319
1979-09-16,1979,9,16,8.252003
1979-09-17,1979,9,17,10.510841
1979-09-18,1979,9,18,13.543562
1979-09-19,1979,9,19,6.955852
1979-09-20,1979,9,20,7.2265497
1979-09-21,1979,9,21,8.9300086
1979-09-22,1979,9,22,6.5168519
1979-09-23,1979,9,23,7.8046466
1979-09-24,1979,9,24,6.8628702
1979-09-25,1979,9,25,7.8219474
1979-09-26,1979,9,26,5.8017012
1979-09-27,1979,9,27,4.9108706
1979-09-28,1979,9,28,4.2776816
1979-09-29,1979,9,29,6.3203008
1979-09-30,1979,9,30,5.1792975
1979-10-01,1979,10,1,5.0295656
1979-10-02,1979,10,2,7.8666137
1979-10-03,1979,10,3,5.7093101
1979-10-04,1979,10,4,5.4757197
1979-10-05,1979,10,5,7.1576275
1979-10-06,1979,10,6,11.697241
1979-10-07,1979,10,7,15.067098
1979-10-08,1979,10,8,17.211642
1979-10-09,1979,10,9,14.716242
1979-10-10,1979,10,10,16.233779
1979-10-11,1979,10,11,18.076043
1979-10-12,1979,10,12,15.824246
1979-10-13,1979,10,13,14.800554
1979-10-14,1979,10,14,18.908202
1979-10-15,1979,10,15,20.602124
1979-10-16,1979,10,16,18.744318
1979-10-17,1979,10,17,18.941557
1979-10-18,1979,10,18,16.292913
1979-10-19,1979,10,19,15.746426
1979-10-20,1979,10,20,10.222157
1979-10-21,1979,10,21,10.503066
1979-10-22,1979,10,22,9.5879225
1979-10-23,1979,10,23,8.7008259
1979-10-24,1979,10,24,9.9574516
1979-10-25,1979,10,25,13.37184
1979-10-26,1979,10,26,12.278311
1979-10-27,1979,10,27,10.525765
1979-10-28,1979,10,28,7.1145726
1979-10-29,1979,10,29,6.436229
1979-10-30,1979,10,30,9.5142327
1979-10-31,1979,10,31,10.793066
1979-11-01,1979,11,1,10.719791
1979-11-02,1979,11,2,13.83941
1979-11-03,1979,11,3,15.106159
1979-11-04,1979,11,4,16.341421
1979-11-05,1979,11,5,14.006063
1979-11-06,1979,11,6,10.199748
1979-11-07,1979,11,7,11.751163
1979-11-08,1979,11,8,15.612805
1979-11-09,1979,11,9,18.83971
1979-11-10,1979,11,10,19.035481
1979-11-11,1979,11,11,14.441993
1979-11-12,1979,11,12,7.8974677
1979-11-13,1979,11,13,11.587023
1979-11-14,1979,11,14,14.940028
1979-11-15,1979,11,15,16.638251
1979-11-16,1979,11,16,10.170233
1979-11-17,1979,11,17,9.0710595
1979-11-18,1979,11,18,8.9073702
1979-11-19,1979,11,19,12.243539
1979-11-20,1979,11,20,12.323036
1979-11-21,1979,11,21,10.152493
1979-11-22,1979,11,22,11.972696
1979-11-23,1979,11,23,15.943369
1979-11-24,1979,11,24,18.091508
1979-11-25,1979,11,25,20.205601
1979-11-26,1979,11,26,21.992951
1979-11-27,1979,11,27,19.113789
1979-11-28,1979,11,28,16.834933
1979-11-29,1979,11,29,15.042498
1979-11-30,1979,11,30,14.750259
1979-12-01,1979,12,1,17.869025
1979-12-02,1979,12,2,16.401881
1979-12-03,1979,12,3,15.250501
1979-12-04,1979,12,4,14.706879
1979-12-05,1979,12,5,9.9810277
1979-12-06,1979,12,6,12.783524
1979-12-07,1979,12,7,15.173849
1979-12-08,1979,12,8,17.570247
1979-12-09,1979,12,9,21.733578
1979-12-10,1979,12,10,15.752815
1979-12-11,1979,12,11,11.316435
1979-12-12,1979,12,12,15.123606
1979-12-13,1979,12,13,12.192997
1979-12-14,1979,12,14,15.748749
1979-12-15,1979,12,15,22.592825
1979-12-16,1979,12,16,20.608334
1979-12-17,1979,12,17,17.77639
1979-12-18,1979,12,18,16.508199
1979-12-19,1979,12,19,15.577908
1979-12-20,1979,12,20,16.444304
1979-12-21,1979,12,21,18.77575
1979-12-22,1979,12,22,20.78966
1979-12-23,1979,12,23,19.766712
1979-12-24,1979,12,24,20.026127
1979-12-25,1979,12,25,20.740603
1979-12-26,1979,12,26,19.518531
1979-12-27,1979,12,27,17.06825
1979-12-28,1979,12,28,19.392099
1979-12-29,1979,12,29,18.093604
1979-12-30,1979,12,30,24.719698
1979-12-31,1979,12,31,25.063129
1980-01-01,1980,1,1,22.25943
1980-01-02,1980,1,2,20.188926
1980-01-03,1980,1,3,20.477809
1980-01-04,1980,1,4,18.400562
1980-01-05,1980,1,5,19.823699
1980-01-06,1980,1,6,19.388025
1980-01-07,1980,1,7,20.732825
1980-01-08,1980,1,8,23.162185
1980-01-09,1980,1,9,22.991486
1980-01-10,1980,1,10,24.826729
1980-01-11,1980,1,11,22.051529
1980-01-12,1980,1,12,20.471034
1980-01-13,1980,1,13,22.373127
1980-01-14,1980,1,14,18.441036
1980-01-15,1980,1,15,20.174634
1980-01-16,1980,1,16,21.881027
1980-01-17,1980,1,17,23.133426
1980-01-18,1980,1,18,22.538113
1980-01-19,1980,1,19,26.385979
1980-01-20,1980,1,20,29.874969
1980-01-21,1980,1,21,22.757201
1980-01-22,1980,1,22,22.182969
1980-01-23,1980,1,23,20.05255
1980-01-24,1980,1,24,21.526202
1980-01-25,1980,1,25,21.181114
1980-01-26,1980,1,26,20.22909
1980-01-27,1980,1,27,23.333084
1980-01-28,1980,1,28,23.6476
1980-01-29,1980,1,29,22.014209
1980-01-30,1980,1,30,22.414333
1980-01-31,1980,1,31,24.104196
1980-02-01,1980,2,1,20.645946
1980-02-02,1980,2,2,18.197161
1980-02-03,1980,2,3,18.428196
1980-02-04,1980,2,4,18.441363
1980-02-05,1980,2,5,18.274047
1980-02-06,1980,2,6,13.550911
1980-02-07,1980,2,7,17.568676
1980-02-08,1980,2,8,16.304739
1980-02-09,1980,2,9,12.880187
1980-02-10,1980,2,10,15.117285
1980-02-11,1980,2,11,13.508065
1980-02-12,1980,2,12,18.165438
1980-02-13,1980,2,13,22.557011
1980-02-14,1980,2,14,21.333974
1980-02-15,1980,2,15,21.125922
1980-02-16,1980,2,16,25.006243
1980-02-17,1980,2,17,23.796581
1980-02-18,1980,2,18,22.118642
1980-02-19,1980,2,19,19.521759
1980-02-20,1980,2,20,19.902196
1980-02-21,1980,2,21,21.17221
1980-02-22,1980,2,22,19.601126
1980-02-23,1980,2,23,18.519503
1980-02-24,1980,2,24,20.454332
1980-02-25,1980,2,25,19.934242
1980-02-26,1980,2,26,16.987503
1980-02-27,1980,2,27,16.899348
1980-02-28,1980,2,28,15.56439
1980-02-29,1980,2,29,14.733278
1980-03-01,1980,3,1,18.747288
1980-03-02,1980,3,2,20.462891
1980-03-03,1980,3,3,19.010842
1980-03-04,1980,3,4,14.202035
1980-03-05,1980,3,5,14.783501
1980-03-06,1980,3,6,17.836959
1980-03-07,1980,3,7,22.129207
1980-03-08,1980,3,8,23.998225
1980-03-09,1980,3,9,25.834783
1980-03-10,1980,3,10,25.748686
1980-03-11,1980,3,11,26.761509
1980-03-12,1980,3,12,26.013829
1980-03-13,1980,3,13,22.359309
1980-03-14,1980,3,14,19.10045
1980-03-15,1980,3,15,18.595753
1980-03-16,1980,3,16,20.530433
1980-03-17,1980,3,17,23.31065
1980-03-18,1980,3,18,20.49503
1980-03-19,1980,3,19,21.16752
1980-03-20,1980,3,20,22.176564
1980-03-21,1980,3,21,21.459885
1980-03-22,1980,3,22,16.181911
1980-03-23,1980,3,23,15.466221
1980-03-24,1980,3,24,17.052574
1980-03-25,1980,3,25,18.805598
1980-03-26,1980,3,26,18.972752
1980-03-27,1980,3,27,24.814218
1980-03-28,1980,3,28,20.465617
1980-03-29,1980,3,29,22.594238
1980-03-30,1980,3,30,22.607931
1980-03-31,1980,3,31,24.455601
1980-04-01,1980,4,1,18.773446
1980-04-02,1980,4,2,16.352161
1980-04-03,1980,4,3,11.691591
1980-04-04,1980,4,4,15.354666
1980-04-05,1980,4,5,17.391306
1980-04-06,1980,4,6,17.909492
1980-04-07,1980,4,7,14.84606
1980-04-08,1980,4,8,11.246718
1980-04-09,1980,4,9,8.3489018
1980-04-10,1980,4,10,8.606112
1980-04-11,1980,4,11,6.1362871
1980-04-12,1980,4,12,5.8502425
1980-04-13,1980,4,13,8.3779077
1980-04-14,1980,4,14,8.721141
1980-04-15,1980,4,15,11.206835
1980-04-16,1980,4,16,12.428511
1980-04-17,1980,4,17,9.7113931
1980-04-18,1980,4,18,13.327574
1980-04-19,1980,4,19,15.156321
1980-04-20,1980,4,20,18.32014
1980-04-21,1980,4,21,16.07969
1980-04-22,1980,4,22,12.58067
1980-04-23,1980,4,23,8.6122322
1980-04-24,1980,4,24,8.2980396
1980-04-25,1980,4,25,11.231867
1980-04-26,1980,4,26,13.445692
1980-04-27,1980,4,27,11.202325
1980-04-28,1980,4,28,10.531753
1980-04-29,1980,4,29,9.7700679
1980-04-30,1980,4,30,13.667519
1980-05-01,1980,5,1,14.984201
1980-05-02,1980,5,2,16.36166
1980-05-03,1980,5,3,14.705673
1980-05-04,1980,5,4,9.5372011
1980-05-05,1980,5,5,7.9792524
1980-05-06,1980,5,6,8.8715502
1980-05-07,1980,5,7,10.50495
1980-05-08,1980,5,8,9.05604
1980-05-09,1980,5,9,7.0986841
1980-05-10,1980,5,10,7.2483298
1980-05-11,1980,5,11,9.7295091
1980-05-12,1980,5,12,11.328031
1980-05-13,1980,5,13,12.520765
1980-05-14,1980,5,14,10.229064
1980-05-15,1980,5,15,13.320117
1980-05-16,1980,5,16,13.5263
1980-05-17,1980,5,17,15.066901
1980-05-18,1980,5,18,9.6167463
1980-05-19,1980,5,19,9.67116
1980-05-20,1980,5,20,8.7848185
1980-05-21,1980,5,21,10.085263
1980-05-22,1980,5,22,15.502628
1980-05-23,1980,5,23,9.7898674
1980-05-24,1980,5,24,11.463857
1980-05-25,1980,5,25,11.084823
1980-05-26,1980,5,26,8.6187382
1980-05-27,1980,5,27,5.6134837
1980-05-28,1980,5,28,8.1080932
1980-05-29,1980,5,29,6.8038215
1980-05-30,1980,5,30,7.7320986
1980-05-31,1980,5,31,6.1355505
1980-06-01,1980,6,1,8.8897059
1980-06-02,1980,6,2,11.633944
1980-06-03,1980,6,3,13.048881
1980-06-04,1980,6,4,12.211399
1980-06-05,1980,6,5,9.7838959
1980-06-06,1980,6,6,10.489991
1980-06-07,1980,6,7,9.0777678
1980-06-08,1980,6,8,6.5412671
1980-06-09,1980,6,9,7.5762485
1980-06-10,1980,6,10,8.7796865
1980-06-11,1980,6,11,8.6042433
1980-06-12,1980,6,12,7.964328
1980-06-13,1980,6,13,9.3277661
1980-06-14,1980,6,14,10.741753
1980-06-15,1980,6,15,6.8720874
1980-06-16,1980,6,16,8.974959
1980-06-17,1980,6,17,9.6504997
1980-06-18,1980,6,18,9.9599692
1980-06-19,1980,6,19,12.292826
1980-06-20,1980,6,20,14.647227
1980-06-21,1980,6,21,11.257765
1980-06-22,1980,6,22,12.295746
1980-06-23,1980,6,23,7.0517495
1980-06-24,1980,6,24,1.8958841
1980-06-25,1980,6,25,0.81132585
1980-06-26,1980,6,26,2.8463737
1980-06-27,1980,6,27,5.8456241
1980-06-28,1980,6,28,5.4523384
1980-06-29,1980,6,29,3.0377647
1980-06-30,1980,6,30,1.0781605
1980-07-01,1980,7,1,2.8920327
1980-07-02,1980,7,2,6.4863046
1980-07-03,1980,7,3,8.2180607
1980-07-04,1980,7,4,9.4265863
1980-07-05,1980,7,5,9.5343634
1980-07-06,1980,7,6,6.1436917
1980-07-07,1980,7,7,5.8387298
1980-07-08,1980,7,8,7.1390812
1980-07-09,1980,7,9,10.210606
1980-07-10,1980,7,10,10.113136
1980-07-11,1980,7,11,9.0036593
1980-07-12,1980,7,12,7.6245625
1980-07-13,1980,7,13,5.0499144
1980-07-14,1980,7,14,9.955566
1980-07-15,1980,7,15,11.179386
1980-07-16,1980,7,16,11.220524
1980-07-17,1980,7,17,9.2833563
1980-07-18,1980,7,18,7.2198376
1980-07-19,1980,7,19,3.870622
1980-07-20,1980,7,20,6.0488539
1980-07-21,1980,7,21,8.4684561
1980-07-22,1980,7,22,14.026405
1980-07-23,1980,7,23,11.699785
1980-07-24,1980,7,24,8.3846133
1980-07-25,1980,7,25,7.230816
1980-07-26,1980,7,26,4.6326554
1980-07-27,1980,7,27,4.1401128
1980-07-28,1980,7,28,2.1454735
1980-07-29,1980,7,29,1.5603078
1980-07-30,1980,7,30,6.263652
1980-07-31,1980,7,31,12.578107
1980-08-01,1980,8,1,14.275024
1980-08-02,1980,8,2,10.671371
1980-08-03,1980,8,3,6.2070281
1980-08-04,1980,8,4,7.8627488
1980-08-05,1980,8,5,9.8975824
1980-08-06,1980,8,6,4.4734781
1980-08-07,1980,8,7,2.2565703
1980-08-08,1980,8,8,6.4932113
1980-08-09,1980,8,9,4.8919442
1980-08-10,1980,8,10,9.0086502
1980-08-11,1980,8,11,14.422293
1980-08-12,1980,8,12,11.183561
1980-08-13,1980,8,13,15.229127
1980-08-14,1980,8,14,12.535445
1980-08-15,1980,8,15,10.215378
1980-08-16,1980,8,16,8.838972
1980-08-17,1980,8,17,6.6158994
1980-08-18,1980,8,18,5.3007515
1980-08-19,1980,8,19,7.0374186
1980-08-20,1980,8,20,4.8754888
1980-08-21,1980,8,21,6.5161473
1980-08-22,1980,8,22,11.511672
1980-08-23,1980,8,23,9.9006878
1980-08-24,1980,8,24,7.3604532
1980-08-25,1980,8,25,8.4672984
1980-08-26,1980,8,26,15.278964
1980-08-27,1980,8,27,15.834301
1980-08-28,1980,8,28,12.944887
1980-08-29,1980,8,29,11.240483
1980-08-30,1980,8,30,6.4933375
1980-08-31,1980,8,31,10.397193
1980-09-01,1980,9,1,13.018106
1980-09-02,1980,9,2,12.461406
1980-09-03,1980,9,3,15.570038
1980-09-04,1980,9,4,16.277354
1980-09-05,1980,9,5,17.424926
1980-09-06,1980,9,6,11.583605
1980-09-07,1980,9,7,4.6670989
1980-09-08,1980,9,8,9.2322617
1980-09-09,1980,9,9,13.933393
1980-09-10,1980,9,10,15.218522
1980-09-11,1980,9,11,20.284666
1980-09-12,1980,9,12,16.412151
1980-09-13,1980,9,13,8.0578335
1980-09-14,1980,9,14,9.9968308
1980-09-15,1980,9,15,12.697062
1980-09-16,1980,9,16,12.439605
1980-09-17,1980,9,17,6.9307462
1980-09-18,1980,9,18,9.3706587
1980-09-19,1980,9,19,11.917365
1980-09-20,1980,9,20,11.099861
1980-09-21,1980,9,21,15.521111
1980-09-22,1980,9,22,17.221524
1980-09-23,1980,9,23,14.813916
1980-09-24,1980,9,24,10.844016
1980-09-25,1980,9,25,11.760697
1980-09-26,1980,9,26,5.5517688
1980-09-27,1980,9,27,11.373853
1980-09-28,1980,9,28,11.54458
1980-09-29,1980,9,29,5.3400822
1980-09-30,1980,9,30,4.182565
1980-10-01,1980,10,1,7.3697663
1980-10-02,1980,10,2,8.6413335
1980-10-03,1980,10,3,10.804818
1980-10-04,1980,10,4,13.709373
1980-10-05,1980,10,5,16.254432
1980-10-06,1980,10,6,12.311856
1980-10-07,1980,10,7,11.808438
1980-10-08,1980,10,8,14.646746
1980-10-09,1980,10,9,13.692771
1980-10-10,1980,10,10,15.157789
1980-10-11,1980,10,11,14.129202
1980-10-12,1980,10,12,14.943437
1980-10-13,1980,10,13,18.850387
1980-10-14,1980,10,14,15.983829
1980-10-15,1980,10,15,17.214311
1980-10-16,1980,10,16,14.442171
1980-10-17,1980,10,17,15.346477
1980-10-18,1980,10,18,15.985527
1980-10-19,1980,10,19,12.587079
1980-10-20,1980,10,20,10.457944
1980-10-21,1980,10,21,7.7900268
1980-10-22,1980,10,22,8.5424701
1980-10-23,1980,10,23,10.529173
1980-10-24,1980,10,24,14.29457
1980-10-25,1980,10,25,14.469762
1980-10-26,1980,10,26,14.060391
1980-10-27,1980,10,27,14.381981
1980-10-28,1980,10,28,13.033266
1980-10-29,1980,10,29,15.039941
1980-10-30,1980,10,30,15.539218
1980-10-31,1980,10,31,21.661129
1980-11-01,1980,11,1,17.134649
1980-11-02,1980,11,2,12.917369
1980-11-03,1980,11,3,14.436862
1980-11-04,1980,11,4,13.565621
1980-11-05,1980,11,5,10.727901
1980-11-06,1980,11,6,5.7581787
1980-11-07,1980,11,7,5.5815816
1980-11-08,1980,11,8,11.077835
1980-11-09,1980,11,9,8.2179623
1980-11-10,1980,11,10,10.855802
1980-11-11,1980,11,11,15.58931
1980-11-12,1980,11,12,19.692433
1980-11-13,1980,11,13,16.079879
1980-11-14,1980,11,14,17.685442
1980-11-15,1980,11,15,14.214133
1980-11-16,1980,11,16,18.761355
1980-11-17,1980,11,17,13.690559
1980-11-18,1980,11,18,13.812011
1980-11-19,1980,11,19,8.2553528
1980-11-20,1980,11,20,9.594669
1980-11-21,1980,11,21,9.5590625
1980-11-22,1980,11,22,13.439738
1980-11-23,1980,11,23,17.525916
1980-11-24,1980,11,24,16.855653
1980-11-25,1980,11,25,17.606221
1980-11-26,1980,11,26,18.446799
1980-11-27,1980,11,27,18.258367
1980-11-28,1980,11,28,18.851762
1980-11-29,1980,11,29,24.767266
1980-11-30,1980,11,30,24.577301
1980-12-01,1980,12,1,20.05938
1980-12-02,1980,12,2,20.315387
1980-12-03,1980,12,3,19.899554
1980-12-04,1980,12,4,16.173415
1980-12-05,1980,12,5,17.452154
1980-12-06,1980,12,6,22.958865
1980-12-07,1980,12,7,24.688152
1980-12-08,1980,12,8,20.631608
1980-12-09,1980,12,9,17.252713
1980-12-10,1980,12,10,14.947489
1980-12-11,1980,12,11,19.088047
1980-12-12,1980,12,12,14.321181
1980-12-13,1980,12,13,18.066305
1980-12-14,1980,12,14,21.524202
1980-12-15,1980,12,15,22.090571
1980-12-16,1980,12,16,17.804041
1980-12-17,1980,12,17,12.133335
1980-12-18,1980,12,18,8.2979344
1980-12-19,1980,12,19,14.608484
1980-12-20,1980,12,20,20.477706
1980-12-21,1980,12,21,22.189103
1980-12-22,1980,12,22,22.731734
1980-12-23,1980,12,23,22.694373
1980-12-24,1980,12,24,21.76123
